Name,RA,DEC
Alpheratz,0.13976888,+29.09082805
Caph,0.15280269,+59.15021814
Algenib,0.22059721,+15.18361593
Ankaa,0.43801871,-42.30512197
Shedir,0.67510756,+56.53740928
Diphda,0.7264523,-17.98668410
Mirach,1.16216599,+35.62083048
Achernar,1.62854213,-57.23666007
Hamal,2.11952383,+23.46277743
Polaris,2.52974312,+89.26413805
Menkar,3.03799418,+04.08992539
Algol,3.13614714,+40.95565120
Mirphak,3.40537459,+49.86124281
Alcyone,3.79140671,+24.10524193
Aldebaran,4.59866679,+16.50976164
Rigel,5.24229756,-08.20163919
Capella,5.27813767,+45.99902927
Bellatrix,5.41885227,+06.34973451
Alnath,5.43819386,+28.60787346
Nihal,5.47075731,-20.75923214
Arneb,5.54550386,-17.82229227
Alnilam,5.60355904,-01.20191725
Alnitak,5.67931244,-01.94257841
Saiph,5.79594109,-09.66960186
Betelgeuse,5.91952477,+07.40703634
Canopus,6.39919184,-52.69571799
Alhena,6.62852842,+16.39941482
Sirius,6.7525694,-16.71314306
Adhara,6.9770963,-28.97208931
Castor,7.57666793,+31.88863645
Procyon,7.65514946,+05.22750767
Pollux,7.75537884,+28.02631031
Alphard,9.45979217,-08.65868335
Regulus,10.13957205,+11.96719513
Algieba,10.3328227,+19.84186032
Merak,11.0306641,+56.38234478
Dubhe,11.06217691,+61.75111888
Denebola,11.81774398,+14.57233687
Phad,11.89715035,+53.69473296
Acrux,12.44331705,-63.09905586
Alioth,12.9004536,+55.95984301
Vindemiatrix,13.03632237,+10.95910186
Mizar,13.39872773,+54.92541525
Spica,13.41989015,-11.16124491
Alkaid,13.79237392,+49.31330288
Hadar,14.06373459,-60.37297840
Arcturus,14.2612076,+19.18726997
RigelKentaurusB,14.66094188,-60.83947139
RigelKentaurusA,14.66136068,-60.83514707
Izar,14.74979191,+27.07417383
Kochab,14.84510983,+74.15547596
Alphekka,15.57810819,+26.71491041
Unukalhai,15.7377766,+06.42551971
Antares,16.49012986,-26.43194608
Rasalgethi,17.24412845,+14.39025314
Shaula,17.56014624,-37.10374835
Rasalhague,17.58222354,+12.56057584
Etamin,17.94343829,+51.48895101
KausAustralis,18.40287397,-34.38431460
Vega,18.61560722,+38.78299311
Nunki,18.92108797,-26.29659428
Tarazed,19.77099171,+10.61326869
Altair,19.84630057,+08.86738491
Deneb,20.69053151,+45.28033423
Alderamin,21.30960598,+62.58545529
Enif,21.73642787,+09.87500791
Alnair,22.13718789,-46.96061593
Fomalhaut,22.96078488,-29.62183701
Scheat,23.06287038,+28.08245462
Markab,23.07933801,+15.20536786
