Name,semi_major,a_color,i_color,z_color
1989_SS,3.02581223,0.05,17.10,17.05
Helenos,5.29707540,-0.01,17.79,17.67
2003_YD179,5.30062353,0.04,20.07,19.97
2007_EW43,5.16246243,-0.05,20.21,20.41
1989_UE5,5.17070558,0.07,20.03,19.96
1992_UD3,2.37429763,0.14,16.70,16.70
1999_RW114,3.05070445,0.08,18.46,18.43
1999_RQ104,3.11501670,-0.05,17.86,17.81
1999_RG165,3.12340483,-0.07,18.25,18.31
1990_RD5,2.73696073,-0.03,17.43,17.34
Tabeisshi,2.43562962,0.14,17.67,17.74
Kustaanheimo,2.39088835,0.16,15.74,15.75
1998_FE115,2.67149576,-0.14,18.00,17.94
1999_QP2,2.36420389,0.17,17.92,17.89
1998_KL55,3.05691022,0.02,17.79,17.73
Seydler,2.44584586,0.18,17.18,17.17
Mira,2.31180613,-0.03,16.99,16.93
1997_EX41,2.77251100,-0.09,17.71,17.67
1991_UL3,2.59850274,0.12,16.46,16.47
Chrispollas,2.33506879,0.19,16.29,16.22
2000_TC29,3.12945375,0.01,18.62,18.50
1999_RS144,2.99229002,0.01,17.86,17.87
2000_XV23,3.97396407,0.11,19.22,19.07
1999_RP104,3.95144823,0.08,18.49,18.35
1991_RM29,2.60004218,0.12,17.43,17.48
Svirelia,2.66290373,0.17,16.17,16.19
Ilinsky,3.39232222,0.08,16.48,16.30
1999_RU208,2.90095482,0.02,17.80,17.77
Philia,2.94920378,-0.04,14.49,14.48
Christophe,3.16726418,-0.12,15.80,15.83
Kimnovak,3.16729360,-0.11,18.55,18.51
1987_BX1,2.79239108,-0.14,17.51,17.41
1999_UU38,3.18147402,-0.15,17.90,17.78
1999_TJ9,3.16961163,0.06,17.10,16.98
1993_EP,2.59006325,0.14,17.17,17.19
Koptelov,2.32166819,0.12,15.74,15.89
Perolof,3.11359449,0.07,16.54,16.37
Samsagan,3.18393094,-0.01,17.15,17.14
Helmholtz,3.24628676,-0.17,16.51,16.49
1993_TK17,3.24886760,-0.10,17.97,18.02
Gopalan,2.89503732,0.15,16.18,16.25
1996_BP3,3.00524053,0.01,17.09,17.02
1999_WV17,2.67518170,0.13,15.78,15.83
1999_TJ51,3.09506855,0.09,18.02,17.97
Boyle,2.74286744,0.16,17.20,17.17
Chenjingrun,2.33717371,-0.14,17.05,17.03
1998_FW113,2.30516078,-0.06,16.95,16.96
Holeungholee,3.06083679,-0.03,15.24,15.24
Jitka,2.79222947,0.13,15.32,15.38
1999_TR10,3.06348556,0.24,16.79,16.77
1999_TN25,2.75826801,-0.04,17.15,17.11
Comba,2.60093458,-0.05,16.39,16.32
1999_RZ221,3.15785201,0.14,17.37,17.46
1997_HB13,3.11018925,-0.01,17.96,18.01
Sanders,2.23953443,0.22,15.60,15.68
Thulin,2.70331885,0.11,17.80,17.73
Schlesinger,2.45757695,0.22,14.40,14.49
1999_VL85,3.52038787,-0.00,18.53,18.41
Scheeres,2.56468183,0.11,15.94,15.97
2002_CL108,3.18892174,-0.06,18.23,18.31
1999_TU102,3.00109576,-0.04,16.47,16.46
Kartvelia,3.22095121,-0.08,14.53,14.55
2000_AD200,2.75847415,0.02,17.92,17.86
2000_AQ199,2.55491448,0.18,16.85,16.95
Raksha,2.54491398,0.15,14.46,14.52
1999_VZ6,3.19769511,0.10,17.45,17.45
2000_AL165,3.15439850,0.17,17.23,17.17
1998_QD11,2.62212162,-0.07,18.41,18.35
1998_HG96,3.24074810,-0.01,17.23,17.14
1999_NG53,2.59134039,0.09,17.70,17.72
Kenzo,2.63809134,0.16,16.44,16.39
1998_KK21,2.66161508,0.13,18.30,18.28
2000_UG1,2.84330228,0.12,18.81,18.95
Laomedon,5.18260379,0.10,17.80,17.71
3090_P-L,3.16526262,0.00,18.14,18.01
1999_NZ55,2.66849819,0.11,17.68,17.69
Gautier,2.37718408,0.11,16.24,16.25
1988_VL2,2.42334094,-0.06,16.36,16.40
Omsk,2.79643789,-0.08,16.15,16.06
1999_TZ219,3.24458120,-0.11,18.56,18.50
1999_TD220,2.84282165,-0.19,18.48,18.37
1999_UB42,3.17284248,-0.01,17.19,17.17
1999_TG25,2.79317131,-0.18,17.69,17.61
Shirvindt,2.67288339,0.11,16.52,16.46
Fredrikbruhn,2.87299645,0.04,17.13,17.14
1999_TQ9,3.09172397,-0.15,16.83,16.84
Bounty,3.16382577,-0.14,16.78,16.76
Deborah,2.81598719,-0.10,13.75,13.81
1999_TL220,3.16009079,-0.12,17.32,17.28
Stuart,2.68044418,0.14,16.11,16.13
Solc,2.40054389,0.13,15.65,15.89
1994_UA2,2.98358090,0.06,16.16,16.20
Crane,2.24162668,0.15,16.48,16.86
1997_HP11,2.92772428,0.13,17.44,17.44
Jacchia,2.59832359,0.19,15.79,15.83
1999_TQ220,2.77462552,-0.03,17.09,17.02
Niilo,2.15095385,0.18,15.02,15.11
1986_CH,2.99555338,0.07,16.05,16.08
1985_RA4,2.74670010,0.02,16.90,16.83
Cesky_Krumlov,3.10080113,0.05,15.67,15.66
1999_TS254,3.23504803,0.04,18.24,18.08
1999_TH102,3.10542096,0.22,17.58,17.49
1999_TQ254,3.19186380,-0.08,18.07,18.08
1998_KP54,2.77613281,-0.06,16.82,16.75
Yes,2.65072517,-0.12,18.34,18.15
1999_VW6,2.55468483,0.12,15.94,15.94
1984_DF1,2.67789498,0.19,17.30,17.38
Marvin,3.00334808,-0.12,16.67,16.70
1994_QQ,2.87526610,0.18,17.60,17.69
1999_RH133,2.76197535,0.16,17.96,17.99
Byron,2.24741269,0.18,15.34,15.33
Patsayev,2.74653115,-0.07,15.59,15.51
Peiresc,3.34808344,0.08,17.43,17.29
1992_EB16,2.91495536,0.09,17.18,17.20
1999_RR102,2.98631829,0.05,18.09,18.12
1999_RA115,2.88298056,0.10,18.62,18.58
1981_EB9,2.60557484,0.15,16.16,16.19
2006_BC33,5.24855315,0.06,19.93,19.60
3329_T-1,3.01448639,-0.02,18.01,17.94
1999_RJ32,3.16324430,0.03,16.70,16.47
1101_T-2,3.00029416,0.02,17.52,17.58
1999_RQ195,3.13594902,-0.04,18.00,17.96
4070_T-3,3.17900590,-0.15,18.68,18.64
Gembloux,2.83922553,0.12,15.98,15.99
1999_AG6,2.62351568,0.22,17.12,17.14
1998_WL2,3.18595683,0.11,18.14,18.02
Kvasnica,2.61421514,0.17,16.80,16.85
2000_AR198,3.19056675,-0.11,17.40,17.30
2001_FQ18,3.20950035,0.06,19.13,19.00
Abramenko,2.59422431,0.12,17.20,17.23
Arnim,3.03366789,0.09,18.30,18.27
Stifter,3.07437886,-0.13,17.30,17.35
1992_HD4,2.57952173,0.13,17.00,17.02
Kinugasa,2.36399676,0.09,16.90,17.11
2001_HG55,3.13506662,-0.10,19.25,19.28
1997_SS31,3.19559483,-0.10,17.88,17.93
2000_CQ63,2.68198304,0.21,17.46,17.55
Leona,3.39398660,-0.01,15.51,15.47
Tensho-kan,2.67008724,0.12,18.11,18.06
1992_EW7,2.47361363,0.12,17.73,17.79
Souchay,2.87682461,0.13,18.25,18.30
2000_EN38,2.78545722,0.19,18.72,18.70
2000_EZ41,3.19633040,-0.10,19.48,19.49
Lagrula,2.21482194,0.22,15.80,15.94
Wolfgangpauli,2.98765340,0.09,16.35,16.31
Riheijyaya,2.98949670,0.10,16.73,16.70
2000_CL62,3.13479253,-0.05,18.10,18.03
2000_CM62,2.59942498,0.18,17.65,17.66
1998_WZ17,3.05944326,-0.14,17.55,17.55
1998_XT17,3.19515777,-0.15,19.21,19.17
1991_RT17,3.07704578,-0.09,18.22,18.21
1981_RF7,3.08561267,0.01,19.67,19.46
Erasmus,2.78521058,0.10,18.52,18.45
Gantrisch,3.14490370,-0.02,16.86,16.77
2000_FH33,3.01301355,-0.02,18.74,18.70
2000_AR236,3.11888049,0.10,17.49,17.34
2000_AS236,2.70693539,0.18,17.01,17.09
Clementina,3.16016298,-0.05,14.43,14.40
2000_AT144,2.58124185,0.12,16.73,16.74
Widorn,3.01856585,0.04,15.99,15.98
1998_QA98,2.45134919,0.18,16.02,16.03
1998_VE37,2.77043497,0.10,17.99,17.94
2000_CS94,2.68901285,0.13,18.24,18.32
1998_XN21,3.22908191,-0.11,19.01,18.91
2000_EF151,2.98912295,0.05,18.33,18.30
2000_FL40,3.09374036,0.05,18.97,18.99
2000_EX108,2.99529432,0.07,18.08,17.99
2000_EU84,3.13118434,0.07,18.57,18.53
Jacliff,2.35388582,0.16,16.28,16.48
Srbija,3.17551850,-0.05,15.90,15.86
1998_XC4,2.84272958,0.07,17.50,17.51
Arnica,2.89884058,0.12,15.51,15.51
2000_EB58,3.04569775,-0.07,18.49,18.65
2000_EV37,3.38824826,-0.11,18.62,18.57
1992_WC2,3.15025268,-0.11,19.13,19.04
